Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
55,Monday May 29,boxscore,COL,@,ARI,L,5,7,,24-31,5,9.0,Nelson,Kauffmann,Chafin,2:43,D,15304,.65,-,
56,Tuesday May 30,boxscore,COL,@,ARI,L,1,5,,24-32,5,10.0,Gallen,Freeland,,2:27,N,11146,.60,--,
57,Wednesday May 31,boxscore,COL,@,ARI,L,0,6,,24-33,5,10.0,Henry,Lamet,,2:38,N,11844,.52,---,
58,Thursday Jun 1,boxscore,COL,@,ARI,L-wo,4,5,,24-34,5,10.5,Ginkel,Johnson,,2:53,D,16492,.46,----,
59,Friday Jun 2,boxscore,COL,@,KCR,W,7,2,,25-34,5,10.5,Suter,Hernández,Lawrence,2:41,N,23482,.37,+,
60,Saturday Jun 3,boxscore,COL,@,KCR,W,6,4,,26-34,5,9.5,Carasiti,Lynch,Lawrence,2:55,D,16492,.43,++,
61,Sunday Jun 4,boxscore,COL,@,KCR,L,0,2,,26-35,5,9.5,Singer,Freeland,Barlow,2:31,D,13128,.48,-,
62,Tuesday Jun 6,boxscore,COL,,SFG,L,4,10,,26-36,5,10.5,Walker,Lamet,,3:28,N,29190,.46,--,
63,Wednesday Jun 7,boxscore,COL,,SFG,L,4,5,,26-37,5,11.5,Rogers,Lawrence,Doval,2:47,N,24149,.39,---,
64,Thursday Jun 8,boxscore,COL,,SFG,L,4,6,,26-38,5,12.0,Alexander,Johnson,Doval,2:46,D,30372,.32,----,
65,Friday Jun 9,boxscore,COL,,SDP,L,6,9,,26-39,5,13.0,Darvish,Gomber,Hader,2:50,N,32551,.25,-----,
66,Saturday Jun 10,boxscore,COL,,SDP,L,2,3,,26-40,5,14.0,Carlton,Bird,Hader,2:53,D,37234,.21,------,
67,Sunday Jun 11,boxscore,COL,,SDP,W-wo,5,4,,27-40,5,14.0,Lawrence,Honeywell,,2:38,D,34724,.16,+,
68,Monday Jun 12,boxscore,COL,@,BOS,W,4,3,10,28-40,5,14.0,Bard,Pivetta,Carasiti,3:05,N,32227,.19,++,
69,Tuesday Jun 13,boxscore,COL,@,BOS,W,7,6,10,29-40,5,13.0,Bard,Garza,Johnson,3:29,N,31400,.22,+++,
70,Wednesday Jun 14,boxscore,COL,@,BOS,L,3,6,,29-41,5,13.0,Whitlock,Gomber,,2:31,N,31977,.25,-,
71,Thursday Jun 15,boxscore,COL,@,ATL,L,3,8,,29-42,5,13.0,Smith-Shawver,Freeland,Tonkin,2:33,N,38555,.22,--,
72,Friday Jun 16,boxscore,COL,@,ATL,L,1,8,,29-43,5,14.0,Shuster,Lamet,,2:14,N,41214,.19,---,
73,Saturday Jun 17,boxscore,COL,@,ATL,L,2,10,,29-44,5,15.0,Elder,Seabold,,2:31,D,41558,.14,----,
74,Sunday Jun 18,boxscore,COL,@,ATL,L,6,14,,29-45,5,15.0,Morton,Anderson,,3:01,D,41161,.10,-----,
75,Monday Jun 19,boxscore,COL,@,CIN,L,4,5,,29-46,5,16.0,Young,Gomber,Díaz,2:52,N,20334,.10,------,
76,Tuesday Jun 20,boxscore,COL,@,CIN,L,6,8,,29-47,5,16.0,Young,Davis,Díaz,2:51,N,28291,.07,-------,
77,Wednesday Jun 21,boxscore,COL,@,CIN,L,3,5,,29-48,5,17.0,Gibaut,Bard,Farmer,2:25,D,23637,.05,--------,
78,Friday Jun 23,boxscore,COL,,LAA,W,7,4,,30-48,5,16.5,Johnson,Bachman,Lawrence,2:47,N,47085,.04,+,
79,Saturday Jun 24,boxscore,COL,,LAA,L,1,25,,30-49,5,16.5,Canning,Anderson,,2:53,N,45274,.04,-,
80,Sunday Jun 25,boxscore,COL,,LAA,W,4,3,,31-49,5,16.5,Gomber,Anderson,Lawrence,2:14,D,40213,.04,+,
81,Tuesday Jun 27,boxscore,COL,,LAD,L,0,5,,31-50,5,17.5,Kershaw,Seabold,Phillips,2:31,N,38738,.05,-,
82,Wednesday Jun 28,boxscore,COL,,LAD,W,9,8,,32-50,5,16.5,Bird,González,Lawrence,2:58,N,37267,.03,+,
83,Thursday Jun 29,boxscore,COL,,LAD,L,3,14,,32-51,5,16.5,Sheehan,Anderson,,2:55,N,36667,.03,-,
84,Friday Jun 30,boxscore,COL,,DET,W,8,5,,33-51,5,16.5,Gomber,Lorenzen,Johnson,2:25,N,47239,.02,+,
85,Saturday Jul 1,boxscore,COL,,DET,L,2,4,10,33-52,5,17.5,Lange,Johnson,,2:41,N,48108,.03,-,
86,Sunday Jul 2,boxscore,COL,,DET,L,9,14,,33-53,5,17.5,Manning,Seabold,,2:53,D,40145,.02,--,
87,Tuesday Jul 4,boxscore,COL,@,HOU,L,1,4,,33-54,5,17.5,Bielak,Freeland,,2:26,D,39533,.02,---,
88,Wednesday Jul 5,boxscore,COL,@,HOU,L,4,6,,33-55,5,17.5,France,Anderson,Pressly,2:28,D,36535,.01,----,
89,Friday Jul 7,boxscore,COL,@,SFG,W,5,2,,34-55,5,17.0,Gomber,Rogers,Bard,2:15,N,33886,.01,+,
90,Saturday Jul 8,boxscore,COL,@,SFG,L,3,5,,34-56,5,18.0,Wood,Seabold,Doval,2:38,D,34568,.01,-,
91,Sunday Jul 9,boxscore,COL,@,SFG,L,0,1,,34-57,5,18.0,Webb,Freeland,,1:56,D,36050,.01,--,
92,Friday Jul 14,boxscore,COL,,NYY,W,7,2,,35-57,5,18.0,Gomber,Rodón,,2:18,N,47865,.01,+,
93,Saturday Jul 15,boxscore,COL,,NYY,L,3,6,,35-58,5,19.0,Schmidt,Seabold,Holmes,2:36,N,48632,.00,-,
94,Sunday Jul 16,boxscore,COL,,NYY,W-wo,8,7,11,36-58,5,18.0,Hollowell,Marinaccio,,3:38,D,47211,.00,+,
95,Tuesday Jul 18,boxscore,COL,,HOU,W,4,3,,37-58,5,18.5,Abad,Brown,Lawrence,2:37,N,43871,.01,++,
96,Wednesday Jul 19,boxscore,COL,,HOU,L,1,4,,37-59,5,18.5,Bielak,Gomber,,2:38,D,36937,.01,-,
97,Friday Jul 21,boxscore,COL,@,MIA,W,6,1,,38-59,5,18.5,Lambert,Garrett,,2:40,N,14092,.00,+,
98,Saturday Jul 22,boxscore,COL,@,MIA,W,4,3,,39-59,5,18.5,Bard,Scott,Lawrence,2:35,D,15226,.01,++,
99,Sunday Jul 23,boxscore,COL,@,MIA,L-wo,2,3,10,39-60,5,18.5,Brazobán,Johnson,,2:49,D,14613,.01,-,
100,Monday Jul 24,boxscore,COL,@,WSN,W,10,6,,40-60,5,17.5,Kauffmann,Corbin,,2:55,N,17194,.00,+,
101,Tuesday Jul 25,boxscore,COL,@,WSN,L,5,6,,40-61,5,18.5,Ferrer,Lawrence,Finnegan,2:31,N,18182,.01,-,
102,Wednesday Jul 26,boxscore,COL,@,WSN,L-wo,4,5,,40-62,5,18.5,Machado,Bard,,2:23,D,16893,.00,--,
103,Friday Jul 28,boxscore,COL,,OAK,L,5,8,,40-63,5,18.5,Sears,Freeland,May,3:08,N,37262,.00,---,
104,Saturday Jul 29,boxscore,COL,,OAK,L,3,11,,40-64,5,19.5,Blackburn,Flexen,,2:52,N,45085,.00,----,
105,Sunday Jul 30,boxscore,COL,,OAK,W,2,0,,41-64,5,18.5,Blach,Medina,Lawrence,2:23,D,31789,.00,+,
106,Monday Jul 31,boxscore,COL,,SDP,W-wo,4,3,10,42-64,5,18.0,Hand,Martínez,,2:51,N,25582,.00,++,
107,Tuesday Aug 1,boxscore,COL,,SDP,L,5,8,,42-65,5,19.0,Suarez,Lambert,Hader,3:01,N,27417,.00,-,
108,Wednesday Aug 2,boxscore,COL,,SDP,L,1,11,,42-66,5,20.0,Kerr,Freeland,,2:56,D,28437,.00,--,
109,Friday Aug 4,boxscore,COL,@,STL,W,9,4,,43-66,5,20.5,Flexen,Wainwright,,2:43,N,38559,.00,+,
110,Saturday Aug 5,boxscore,COL,@,STL,L,2,6,,43-67,5,20.5,Matz,Blach,,2:27,N,38121,.00,-,
111,Sunday Aug 6,boxscore,COL,@,STL,W,1,0,,44-67,5,20.5,Gomber,Thompson,Lawrence,2:36,D,40051,.00,+,
112,Monday Aug 7,boxscore,COL,@,MIL,L,1,12,,44-68,5,21.5,Peralta,Lambert,,2:24,N,24759,.00,-,
113,Tuesday Aug 8,boxscore,COL,@,MIL,W,7,3,10,45-68,5,21.5,Koch,Chafin,,2:47,N,25365,.00,+,
114,Wednesday Aug 9,boxscore,COL,@,MIL,L-wo,6,7,10,45-69,5,22.5,Wilson,Lawrence,,2:52,D,35173,.00,-,
115,Thursday Aug 10,boxscore,COL,@,LAD,L,1,2,,45-70,5,23.5,Yarbrough,Doyle,Graterol,2:14,N,45933,.00,--,
116,Friday Aug 11,boxscore,COL,@,LAD,L,1,6,,45-71,5,24.5,Lynn,Gomber,,2:47,N,49315,.00,---,
117,Saturday Aug 12,boxscore,COL,@,LAD,L,1,4,,45-72,5,25.5,Gonsolin,Lambert,Phillips,2:13,N,52515,.00,----,
118,Sunday Aug 13,boxscore,COL,@,LAD,L,3,8,,45-73,5,26.5,Urías,Freeland,,2:41,D,45904,.00,-----,
119,Monday Aug 14,boxscore,COL,,ARI,W,6,4,,46-73,5,26.0,Koch,Mantiply,Lawrence,2:19,N,24157,.00,+,
120,Tuesday Aug 15,boxscore,COL,,ARI,L,5,8,,46-74,5,27.0,Ginkel,Lawrence,Sewald,2:47,N,23644,.00,-,
121,Wednesday Aug 16,boxscore,COL,,ARI,L,7,9,,46-75,5,28.0,Nelson,Kinley,Sewald,3:16,D,22824,.00,--,
122,Friday Aug 18,boxscore,COL,,CHW,W,14,1,,47-75,5,27.5,Lambert,Kopech,,2:17,N,35249,.00,+,
123,Saturday Aug 19,boxscore,COL,,CHW,W,11,5,,48-75,5,28.0,Freeland,Scholtens,,2:52,N,46601,.00,++,
124,Sunday Aug 20,boxscore,COL,,CHW,L,5,10,,48-76,5,28.5,Bummer,Koch,,3:04,D,40151,.00,-,
125,Tuesday Aug 22,boxscore,COL,@,TBR,L,4,12,,48-77,5,28.5,Kittredge,Suter,,2:46,N,10235,.00,--,
126,Wednesday Aug 23,boxscore,COL,@,TBR,L-wo,5,6,10,48-78,5,29.5,Fairbanks,Suter,,2:47,N,12001,.00,---,
127,Thursday Aug 24,boxscore,COL,@,TBR,L,3,5,,48-79,5,30.5,Adam,Koch,Fairbanks,2:40,D,9972,.00,----,
128,Friday Aug 25,boxscore,COL,@,BAL,L,4,5,,48-80,5,31.5,Fujinami,Suter,Coulombe,2:20,N,28872,.00,-----,
129,Saturday Aug 26,boxscore,COL,@,BAL,L,4,5,,48-81,5,31.5,Bradish,Flexen,Cano,2:51,N,42535,.00,------,
130,Sunday Aug 27,boxscore,COL,@,BAL,W,4,3,,49-81,5,31.5,Lawrence,Cano,,2:24,D,30773,.00,+,
131,Monday Aug 28,boxscore,COL,,ATL,L,4,14,,49-82,5,32.5,Elder,Kauffmann,,2:54,N,27024,.00,-,
132,Tuesday Aug 29,boxscore,COL,,ATL,L,1,3,,49-83,5,33.5,Morton,Lambert,Iglesias,2:36,N,25244,.00,--,
133,Wednesday Aug 30,boxscore,COL,,ATL,L,3,7,,49-84,5,34.5,Vines,Freeland,,2:35,N,27425,.00,---,
134,Friday Sep 1,boxscore,COL,,TOR,L,9,13,,49-85,5,34.0,Hicks,Bird,,3:10,N,27397,.00,----,
135,Saturday Sep 2,boxscore,COL,,TOR,W,8,7,,50-85,5,33.0,Blach,Kikuchi,Kinley,3:05,N,40445,.00,+,
136,Sunday Sep 3,boxscore,COL,,TOR,L,5,7,,50-86,5,34.0,Green,Lawrence,Romano,3:13,D,32283,.00,-,
137,Monday Sep 4,boxscore,COL,@,ARI,L,2,4,,50-87,5,34.5,Kelly,Lambert,Sewald,2:18,D,18097,.00,--,
138,Tuesday Sep 5,boxscore,COL,@,ARI,W,3,2,,51-87,5,33.5,Freeland,Pfaadt,Kinley,2:38,N,12994,.00,+,
139,Wednesday Sep 6,boxscore,COL,@,ARI,L,5,12,,51-88,5,33.5,Jarvis,Flexen,,3:01,D,11044,.00,-,
140,Friday Sep 8,boxscore,COL,@,SFG,L,8,9,,51-89,5,35.0,Brebbia,Bird,Doval,2:53,N,32448,.00,--,
141,Saturday Sep 9,boxscore,COL,@,SFG,L,1,9,,51-90,5,35.0,Webb,Anderson,,2:44,N,34290,.00,---,
142,Sunday Sep 10,boxscore,COL,@,SFG,L,3,6,,51-91,5,36.0,Winn,Lambert,Doval,2:32,N,33781,.00,----,
143,Monday Sep 11,boxscore,COL,,CHC,L,4,5,,51-92,5,36.0,Smyly,Kinley,Fulmer,2:58,N,30620,.00,-----,
144,Tuesday Sep 12,boxscore,COL,,CHC,W,6,4,,52-92,5,36.0,Bird,Palencia,Lawrence,2:55,N,32058,.00,+,
145,Wednesday Sep 13,boxscore,COL,,CHC,W,7,3,,53-92,5,35.0,Blach,Taillon,Kinley,2:44,D,32171,.00,++,
146,Friday Sep 15,boxscore,COL,,SFG,W-wo,3,2,,54-92,5,35.0,Koch,Doval,,2:26,N,38253,.00,+++,
147,Saturday Sep 16 (1),boxscore,COL,,SFG,W,9,5,,55-92,5,34.5,Kauffmann,Walker,Hollowell,2:56,D,22101,.00,++++,2023-09-14 (Rain)
148,Saturday Sep 16 (2),boxscore,COL,,SFG,W,5,2,,56-92,5,34.5,Vodnik,Alexander,Kinley,2:37,N,43885,.00,+++++,
149,Sunday Sep 17,boxscore,COL,,SFG,L,10,11,,56-93,5,35.5,Manaea,Flexen,Rogers,3:17,D,30619,.00,-,
150,Monday Sep 18,boxscore,COL,@,SDP,L,9,11,,56-94,5,36.5,Wacha,Blach,Hader,3:13,N,42062,.00,--,
151,Tuesday Sep 19,boxscore,COL,@,SDP,L-wo,0,2,,56-95,5,37.5,Hader,Kinley,,2:43,N,39809,.00,---,
152,Wednesday Sep 20,boxscore,COL,@,SDP,L,2,3,,56-96,5,37.5,García,Anderson,Hader,2:26,D,35479,.00,----,
153,Friday Sep 22,boxscore,COL,@,CHC,L,0,6,,56-97,5,38.0,Taillon,Davis,,2:38,D,32150,.00,-----,
154,Saturday Sep 23,boxscore,COL,@,CHC,L,3,6,,56-98,5,39.0,Assad,Mears,Cuas,2:55,D,38608,.00,------,
155,Sunday Sep 24,boxscore,COL,@,CHC,L,3,4,,56-99,5,40.0,Wicks,Blach,Merryweather,2:31,D,37060,.00,-------,
156,Tuesday Sep 26 (1),boxscore,COL,,LAD,W,4,1,,57-99,5,40.0,Anderson,Ferguson,Kinley,2:42,D,24648,.00,+,
157,Tuesday Sep 26 (2),boxscore,COL,,LAD,L,2,11,,57-100,5,40.0,Miller,Feltner,,2:50,N,25133,.00,-,
158,Wednesday Sep 27,boxscore,COL,,LAD,L,2,8,,57-101,5,41.0,Sheehan,Davis,,2:53,N,26054,.00,--,
159,Thursday Sep 28,boxscore,COL,,LAD,W,14,5,,58-101,5,40.0,Flexen,Yarbrough,,2:39,N,30129,.00,+,
160,Friday Sep 29,boxscore,COL,,MIN,L,6,7,,58-102,5,41.0,Funderburk,Kinley,Pagán,2:58,N,47272,.00,-,
161,Saturday Sep 30,boxscore,COL,,MIN,L,6,14,,58-103,5,41.0,Paddack,Kauffmann,,2:57,N,40264,.00,--,
162,Sunday Oct 1,boxscore,COL,,MIN,W-wo,3,2,11,59-103,5,41.0,Hollowell,Luplow,,3:07,D,33375,.00,+,
