Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 30,boxscore,COL,@,SDP,W,7,2,,1-0,1,Tied,Márquez,Snell,,2:56,N,45103,1.03,+,
2,Friday Mar 31,boxscore,COL,@,SDP,W,4,1,,2-0,1,up 1.0,Freeland,Martínez,Johnson,2:27,N,43177,1.10,++,
3,Saturday Apr 1,boxscore,COL,@,SDP,L,4,8,,2-1,1,Tied,Wacha,Ureña,,2:40,N,42663,1.12,-,
4,Sunday Apr 2,boxscore,COL,@,SDP,L,1,3,,2-2,1,Tied,Lugo,Gomber,Hader,2:03,D,43972,1.06,--,
5,Monday Apr 3,boxscore,COL,@,LAD,L,4,13,,2-3,4,1.0,Almonte,Feltner,,2:47,N,49792,1.02,---,
6,Tuesday Apr 4,boxscore,COL,@,LAD,L,2,5,,2-4,5,2.0,Urías,Márquez,Phillips,2:25,N,52290,.97,----,
7,Thursday Apr 6,boxscore,COL,,WSN,W,1,0,,3-4,3,2.0,Freeland,Gray,Johnson,2:18,D,48230,.86,+,
8,Friday Apr 7,boxscore,COL,,WSN,L,5,10,,3-5,5,2.0,Gore,Ureña,,2:38,N,30869,.92,-,
9,Saturday Apr 8,boxscore,COL,,WSN,L,6,7,,3-6,5,2.0,Williams,Gomber,Edwards,2:44,N,34503,.88,--,
10,Sunday Apr 9,boxscore,COL,,WSN,W,7,6,,4-6,5,2.0,Lamet,Ramírez,Johnson,2:47,D,30283,.83,+,
11,Monday Apr 10,boxscore,COL,,STL,W,7,4,,5-6,4,2.0,Márquez,Matz,,2:14,N,24092,.87,++,
12,Tuesday Apr 11,boxscore,COL,,STL,L,6,9,,5-7,5,2.0,Gallegos,Johnson,Helsley,2:37,N,25399,.87,-,
13,Wednesday Apr 12,boxscore,COL,,STL,L,4,7,,5-8,5,3.0,Pallante,Lawrence,Helsley,2:34,D,22250,.86,--,
14,Friday Apr 14,boxscore,COL,@,SEA,L,3,5,,5-9,5,3.0,Brash,Gomber,Sewald,2:34,N,32698,.78,---,
15,Saturday Apr 15,boxscore,COL,@,SEA,L,2,9,,5-10,5,3.0,Kirby,Feltner,,2:49,N,27549,.73,----,
16,Sunday Apr 16,boxscore,COL,@,SEA,L,0,1,,5-11,5,4.0,Castillo,Lamet,Sewald,2:19,D,23585,.70,-----,
17,Monday Apr 17,boxscore,COL,,PIT,L,3,14,,5-12,5,5.0,Hill,Freeland,,2:52,N,20322,.69,------,
18,Tuesday Apr 18,boxscore,COL,,PIT,L,3,5,,5-13,5,6.0,Velasquez,Ureña,Bednar,2:39,N,19495,.62,-------,
19,Wednesday Apr 19,boxscore,COL,,PIT,L,3,14,,5-14,5,6.0,Oviedo,Gomber,,2:32,D,18511,.56,--------,
20,Thursday Apr 20,boxscore,COL,@,PHI,W,5,0,,6-14,5,5.0,Feltner,Strahm,,2:40,N,35062,.52,+,
21,Friday Apr 21,boxscore,COL,@,PHI,L,3,4,,6-15,5,6.0,Domínguez,Hand,Alvarado,2:35,N,43261,.56,-,
22,Saturday Apr 22,boxscore,COL,@,PHI,L,3,4,,6-16,5,6.0,Brogdon,Freeland,Kimbrel,2:26,D,41939,.51,--,
23,Sunday Apr 23,boxscore,COL,@,PHI,L,3,9,,6-17,5,6.0,Wheeler,Ureña,,2:43,D,44618,.46,---,
24,Monday Apr 24,boxscore,COL,@,CLE,W,6,0,,7-17,5,6.0,Gomber,Quantrill,,2:25,N,9258,.43,+,
25,Tuesday Apr 25,boxscore,COL,@,CLE,W,5,1,,8-17,5,5.5,Feltner,Battenfield,,2:22,N,9493,.45,++,
26,Wednesday Apr 26,boxscore,COL,@,CLE,L,1,4,,8-18,5,6.0,Bibee,Márquez,Clase,2:32,D,9841,.51,-,
27,Friday Apr 28,boxscore,COL,,ARI,L,1,9,,8-19,5,7.0,Kelly,Freeland,,2:46,N,24197,.48,--,
28,Saturday Apr 29,boxscore,COL,,ARI,L,4,11,,8-20,5,8.0,Henry,Davis,,2:50,N,34399,.43,---,
29,Sunday Apr 30,boxscore,COL,,ARI,W,12,4,,9-20,5,7.0,Gomber,Nelson,,2:31,D,31900,.37,+,
30,Tuesday May 2,boxscore,COL,,MIL,W,3,2,,10-20,5,7.5,Lawrence,Strzelecki,Johnson,2:12,N,19517,.36,++,
31,Wednesday May 3,boxscore,COL,,MIL,W,7,1,,11-20,5,7.5,Freeland,Lauer,,2:41,N,20640,.46,+++,
32,Thursday May 4,boxscore,COL,,MIL,W,9,6,,12-20,5,7.0,Hand,Strzelecki,,2:43,D,30647,.47,++++,
33,Friday May 5,boxscore,COL,@,NYM,L,0,1,,12-21,5,7.0,Senga,Senzatela,Ottavino,2:10,N,25854,.53,-,
34,Saturday May 6,boxscore,COL,@,NYM,W,5,2,,13-21,5,7.0,Gomber,Megill,Johnson,2:38,D,35692,.50,+,
35,Sunday May 7,boxscore,COL,@,NYM,W,13,6,,14-21,5,7.0,Suter,Yacabonis,,3:06,D,36501,.56,++,
36,Monday May 8,boxscore,COL,@,PIT,L,0,2,,14-22,5,7.0,Keller,Freeland,,1:55,N,9596,.62,-,
37,Tuesday May 9,boxscore,COL,@,PIT,W,10,1,,15-22,5,7.0,Seabold,Ortiz,,2:32,N,11916,.58,+,
38,Wednesday May 10,boxscore,COL,@,PIT,W,4,3,,16-22,5,7.0,Hand,Stephenson,Johnson,3:08,D,13491,.62,++,
39,Friday May 12,boxscore,COL,,PHI,L,3,6,,16-23,5,8.0,Strahm,Lawrence,Kimbrel,2:15,N,32038,.67,-,
40,Saturday May 13,boxscore,COL,,PHI,L,4,7,,16-24,5,9.0,Brogdon,Feltner,Soto,2:51,N,34006,.65,--,
41,Sunday May 14,boxscore,COL,,PHI,W,4,0,,17-24,5,9.0,Freeland,Nola,,2:33,D,30325,.55,+,
42,Monday May 15,boxscore,COL,,CIN,W,9,8,,18-24,5,9.0,Bard,Lively,Johnson,2:51,N,20259,.62,++,
43,Tuesday May 16,boxscore,COL,,CIN,L,1,3,,18-25,5,9.0,Law,Lambert,Díaz,2:05,N,20611,.60,-,
44,Wednesday May 17,boxscore,COL,,CIN,W,11,6,,19-25,5,9.0,Suter,Ashcraft,Johnson,2:39,D,22654,.59,+,
45,Friday May 19,boxscore,COL,@,TEX,L,2,7,,19-26,5,9.5,Pérez,Kauffmann,,2:23,N,30819,.59,-,
46,Saturday May 20,boxscore,COL,@,TEX,L,5,11,,19-27,5,9.5,Gray,Freeland,,2:57,D,34443,.58,--,
47,Sunday May 21,boxscore,COL,@,TEX,L,3,13,,19-28,5,9.5,Heaney,Seabold,,2:50,D,32733,.56,---,
48,Monday May 22,boxscore,COL,,MIA,W,5,3,,20-28,5,9.5,Bird,Cabrera,Johnson,2:14,N,20331,.50,+,
49,Tuesday May 23,boxscore,COL,,MIA,W,5,4,,21-28,5,9.5,Gomber,Pérez,Johnson,2:28,N,19470,.54,++,
50,Wednesday May 24,boxscore,COL,,MIA,L,2,10,,21-29,5,9.5,Alcántara,Kauffmann,,2:32,N,19546,.58,-,
51,Thursday May 25,boxscore,COL,,MIA,W-wo,7,6,,22-29,5,9.0,Suter,Brazobán,,3:14,D,20738,.53,+,
52,Friday May 26,boxscore,COL,,NYM,L,2,5,,22-30,5,9.0,Scherzer,Seabold,Ottavino,2:46,N,30288,.58,-,
53,Saturday May 27,boxscore,COL,,NYM,W,10,7,,23-30,5,9.0,Lawrence,Brigham,Johnson,2:58,N,36874,.52,+,
54,Sunday May 28,boxscore,COL,,NYM,W,11,10,,24-30,5,8.0,Lambert,Nogosek,,2:57,D,47471,.56,++,
